2019-01-01 12:00:00;Sensor0;O3;110;
2019-01-01 12:00:00;Sensor0;NO2;120;
2019-01-01 12:00:00;Sensor0;SO2;170;
2019-01-01 12:00:00;Sensor0;PM10;30;
2019-01-02 12:00:00;Sensor0;O3;110;
2019-01-02 12:00:00;Sensor0;NO2;120;
2019-01-02 12:00:00;Sensor0;SO2;170;
2019-01-02 12:00:00;Sensor0;PM10;30;
2019-01-03 12:00:00;Sensor0;O3;110;
2019-01-03 12:00:00;Sensor0;NO2;120;
2019-01-03 12:00:00;Sensor0;SO2;170;
2019-01-03 12:00:00;Sensor0;PM10;30;
2019-01-04 12:00:00;Sensor0;O3;110;
2019-01-04 12:00:00;Sensor0;NO2;120;
2019-01-04 12:00:00;Sensor0;SO2;170;
2019-01-04 12:00:00;Sensor0;PM10;30;
2019-01-05 12:00:00;Sensor0;O3;110;
2019-01-05 12:00:00;Sensor0;NO2;120;
2019-01-05 12:00:00;Sensor0;SO2;170;
2019-01-05 12:00:00;Sensor0;PM10;1;
